category	explanation	question	opt0	opt1	opt2	opt3	gold
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Singer with the No.1 hits """"I Will Always Love You"""" and """"Didn't We Almost Have It All"""""	Keene	Mich.	Tex.	Alas.	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"1960s soul singer with the No.1 hit """"(Sittin' On) The Dock of the Bay"""" [Pa.]"	Jackson	Orlando	Redding	Colo.	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Who had a hit with """"U Got the Look"""" with Prince?"	Orlando	Fla.	Ill., Mass. or Mo.	Pa.	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Who sang """"Rocky Mountain High"""" and """"Thank God I'm a Country Boy”?"	Detroit	Houston	Colo.	Springfield	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Attorney general under Bill Clinton for all eight years	Colo.	Cleveland	Nev.	Mich.	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Star of """"Malcolm X,"""" """"Fences"""" and """"The Equalizer"""""	Reno	Easton	D.C.	Jackson	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	American botanist who created the Shasta daisy and hundreds of other varieties of plants	Tex.	Cal.	Colo.	Nev.	1
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	1960s-70s singer with Dawn	Houston	Cal.	D.C.	Fla.	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Singer with the 33-time platinum album """"Thriller"""""	Ill., Mass. or Mo.	Miss.	Nev.	Keene	1
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Singer with the 1981 hit """"Jessie's Girl"""""	Ill., Mass. or Mo.	Fla.	Jackson	Colo.	0
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"""""Guys and Dolls"""" role played on film by Frank Sinatra"	Ill., Mass. or Mo.	Tex.	Alas.	Mich.	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Silent film star who was married to Mary Pickford	Detroit	Alas.	Pa.	Oh.	1
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Only U.S. president to serve two nonconsecutive terms [Oh.]	Miss.	Ill., Mass. or Mo.	Cleveland	Colo.	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Author of the Nancy Drew books [N.H.]	Keene	Alas.	Colo.	Ill., Mass. or Mo.	0
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Singer with the No.1 hits """"I Will Always Love You"""" and """"Didn't We Almost Have It All"""" [Tex.]"	Alas.	D.C.	Ill., Mass. or Mo.	Houston	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"1960s soul singer with the No.1 hit """"(Sittin' On) The Dock of the Bay"""" [Pa.]"	Nev.	Burbank	Fairbanks	Redding	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Who had a hit with """"U Got the Look"""" with Prince [Pa.]"	Redding	Oh.	Nev.	Easton	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Who sang """"Rocky Mountain High"""" and """"Thank God I'm a Country Boy"""" [Colo.]"	Cal.	Denver	Mich.	Tex.	1
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Attorney general under Bill Clinton for all eight years [Nev.]	Burbank	Tex.	Reno	Colo.	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Star of """"Malcolm X,"""" """"Fences"""" and """"The Equalizer"""" [D.C.]"	Miss.	Ill., Mass. or Mo.	Washington	Keene	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	American botanist who created the Shasta daisy and hundreds of other varieties of plants [Cal.]	Tex.	Oh.	Keene	Burbank	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	1960s-70s singer with Dawn [Fla.]	Burbank	Redding	Orlando	Keene	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Singer with the 33-times platinum album """"Thriller"""" [Miss.]"	Oh.	Cal.	Jackson	Washington	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"Singer with the 1981 hit """"Jessie's Girl"""" [Ill., Mass. or Mo.]"	Nev.	Denver	Orlando	Springfield	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	"""""Guys and Dolls"""" role played on film by Frank Sinatra [Mich.]"	Redding	Keene	Cal.	Detroit	3
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Silent film star who was married to Mary Pickford [Alas.]	Fla.	Fairbanks	Alas.	Mich.	1
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	months	Mediterranean Avenue, Marvin Gardens	May, March	Sleepy, Sneezy	Brooklyn, Bronx	1
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	presidents	preposition, pronoun; not participle	Brooklyn, Bronx	Polk, Pierce	May, March	2
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	boroughs in New York City	Polk, Pierce	May, March	Brooklyn, Bronx	Columbia, Cornell	2
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	parts of speech	preposition, pronoun; not participle	Brooklyn, Bronx	Aldrin, Armstrong	Sleepy, Sneezy	0
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	Snow White's dwarves	Polk, Pierce	May, March	Sleepy, Sneezy	preposition, pronoun; not participle	2
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	astronauts on the first moon landing	Aldrin, Armstrong	May, March	Brooklyn, Bronx	Sleepy, Sneezy	0
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	Monopoly properties	May, March	Polk, Pierce	Mediterranean Avenue, Marvin Gardens	Sleepy, Sneezy	2
I.E	The word senses start with the letter “s”, and there are two senses, sight and smell, that also start with an s. Will will name a category, and, for each, give two things in it that start with the first letter of the category.	NATO members	Norway, Netherlands	Aldrin, Armstrong	Polk, Pierce	Mediterranean Avenue, Marvin Gardens	0
